timestamp,joint,angle
28.119,elbow_L_flex,72.9
28.244,elbow_L_flex,73.1
28.384,elbow_L_flex,72.9
28.524,elbow_L_flex,73.0
28.647,elbow_L_flex,72.8
28.788,elbow_L_flex,73.2
28.914,elbow_L_flex,73.3
29.087,elbow_L_flex,73.7
29.227,elbow_L_flex,73.4
29.350,elbow_L_flex,73.5
29.490,elbow_L_flex,73.0
29.614,elbow_L_flex,73.0
29.755,elbow_L_flex,71.8
29.897,elbow_L_flex,72.0
30.037,elbow_L_flex,72.0
30.163,elbow_L_flex,72.2
30.288,elbow_L_flex,71.8
30.426,elbow_L_flex,71.8
30.567,elbow_L_flex,72.0
30.691,elbow_L_flex,72.0
30.831,elbow_L_flex,72.5
30.973,elbow_L_flex,71.8
31.113,elbow_L_flex,72.0
31.270,elbow_L_flex,71.4
31.395,elbow_L_flex,71.4
31.534,elbow_L_flex,71.3
31.673,elbow_L_flex,71.7
31.798,elbow_L_flex,72.0
31.924,elbow_L_flex,72.0
32.063,elbow_L_flex,72.6
32.204,elbow_L_flex,73.0
32.342,elbow_L_flex,74.1
32.469,elbow_L_flex,74.3
32.608,elbow_L_flex,74.2
32.747,elbow_L_flex,74.0
32.872,elbow_L_flex,72.8
32.998,elbow_L_flex,73.4
33.108,elbow_L_flex,72.0
33.249,elbow_L_flex,107.3
33.406,elbow_L_flex,75.3
33.543,elbow_L_flex,75.9
33.669,elbow_L_flex,108.5
33.778,elbow_L_flex,108.5
33.919,elbow_L_flex,106.0
34.076,elbow_L_flex,106.3
34.216,elbow_L_flex,70.5
34.341,elbow_L_flex,104.6
34.466,elbow_L_flex,106.4
34.591,elbow_L_flex,107.1
34.746,elbow_L_flex,75.0
34.889,elbow_L_flex,73.5
35.014,elbow_L_flex,74.6
35.171,elbow_L_flex,77.2
35.328,elbow_L_flex,76.7
35.469,elbow_L_flex,74.9
35.610,elbow_L_flex,74.7
35.752,elbow_L_flex,75.3
35.876,elbow_L_flex,75.6
36.014,elbow_L_flex,75.9
36.153,elbow_L_flex,76.3
36.279,elbow_L_flex,76.3
36.418,elbow_L_flex,76.6
36.558,elbow_L_flex,76.1
36.685,elbow_L_flex,76.7
36.825,elbow_L_flex,77.1
36.950,elbow_L_flex,77.1
37.091,elbow_L_flex,77.3
37.215,elbow_L_flex,77.2
37.353,elbow_L_flex,77.3
37.491,elbow_L_flex,76.9
37.618,elbow_L_flex,76.8
37.772,elbow_L_flex,76.2
37.928,elbow_L_flex,76.2
38.053,elbow_L_flex,76.4
38.197,elbow_L_flex,75.8
38.289,elbow_L_flex,75.5
38.460,elbow_L_flex,75.2
38.600,elbow_L_flex,75.0
38.724,elbow_L_flex,75.1
38.866,elbow_L_flex,75.2
